Loading raw signal from data/raw/Ninapro_DB1/s1/S1_A1_E2.mat...
Preprocessing signal (Filtering & Standardizing)...
Extracting 200ms sliding windows...
Extracting dense windows (size=20, stride=1)...
Extracting FFT Frequencies...
Extracting FFT magnitudes...
Loading Trained Models (Dictionary, Scaler, SVM)...
Extracting Sparse Dictionary Codes...
Classifying movements...

[EVALUATION RESULTS]
Overall Accuracy:       75.82%
Active Blocks Accuracy: 51.99%

=====================================================================================
 sEMG TRUE vs PREDICTED TIMELINE LOG
=====================================================================================
[000.00s - 004.13s] ✅ TRUE: Rest                         | PRED: Rest
[408.31s - 408.65s] ❌ TRUE: Rest                         | PRED: Abduction of all fingers
[408.65s - 409.71s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[409.82s - 410.04s] ❌ TRUE: Abduction of all fingers     | PRED: Extension of index and middle, flexion of others
[410.17s - 410.51s] ❌ TRUE: Abduction of all fingers     | PRED: Rest
[410.51s - 415.35s] ✅ TRUE: Rest                         | PRED: Rest
[415.44s - 415.67s] ❌ TRUE: Abduction of all fingers     | PRED: Thumb abduction
[415.67s - 416.40s] ✅ TRUE: Abduction of all fingers     | PRED: Abduction of all fingers
[416.40s - 416.90s] ❌ TRUE: Abduction of all fingers     | PRED: Middle extension
[417.10s - 417.84s] ❌ TRUE: Abduction of all fingers     | PRED: Middle extension
[418.14s - 424.03s] ✅ TRUE: Rest                         | PRED: Rest
[424.22s - 425.32s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[425.42s - 427.28s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[427.28s - 427.55s] ❌ TRUE: Fingers flexed together in fist | PRED: Ring flexion
[427.55s - 427.91s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[427.91s - 431.75s] ✅ TRUE: Rest                         | PRED: Rest
[432.04s - 432.39s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb up
[432.39s - 434.91s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[434.91s - 435.15s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[435.15s - 435.49s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[435.49s - 436.02s] ❌ TRUE: Rest                         | PRED: Pointing index
[436.02s - 440.16s] ✅ TRUE: Rest                         | PRED: Rest
[440.33s - 440.53s] ❌ TRUE: Fingers flexed together in fist | PRED: Pointing index
[440.53s - 442.94s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[442.94s - 443.45s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[443.45s - 448.58s] ✅ TRUE: Rest                         | PRED: Rest
[448.58s - 448.83s] ❌ TRUE: Rest                         | PRED: Pointing index
[448.87s - 449.20s] ❌ TRUE: Fingers flexed together in fist | PRED: Little finger flexion
[449.20s - 449.55s] ❌ TRUE: Fingers flexed together in fist | PRED: Extension of index and middle, flexion of others
[449.69s - 451.90s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[451.90s - 452.33s] ❌ TRUE: Fingers flexed together in fist | PRED: Pointing index
[452.33s - 452.58s] ❌ TRUE: Rest                         | PRED: Pointing index
[452.58s - 456.73s] ✅ TRUE: Rest                         | PRED: Rest
[456.73s - 456.95s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[457.15s - 457.55s] ❌ TRUE: Fingers flexed together in fist | PRED: Ring flexion
[457.55s - 457.89s] ❌ TRUE: Fingers flexed together in fist | PRED: Large diameter grasp
[457.95s - 458.66s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[458.71s - 459.13s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[459.13s - 459.80s] ❌ TRUE: Fingers flexed together in fist | PRED: Extension type grasp
[460.22s - 460.57s] ❌ TRUE: Fingers flexed together in fist | PRED: Large diameter grasp
[460.72s - 461.11s] ❌ TRUE: Fingers flexed together in fist | PRED: Cut something
[461.11s - 461.52s] ❌ TRUE: Fingers flexed together in fist | PRED: Open a bottle with a tripod grasp
[461.52s - 461.92s] ❌ TRUE: Fingers flexed together in fist | PRED: Turn a screw
[462.10s - 462.41s] ❌ TRUE: Rest                         | PRED: Middle extension
[462.41s - 462.91s] ❌ TRUE: Rest                         | PRED: Pointing index
[462.91s - 463.45s] ✅ TRUE: Rest                         | PRED: Rest
[463.45s - 463.88s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[463.88s - 465.57s] ✅ TRUE: Rest                         | PRED: Rest
[465.57s - 466.20s] ❌ TRUE: Rest                         | PRED: Pointing index
[466.25s - 466.48s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb up
[466.48s - 466.97s] ❌ TRUE: Fingers flexed together in fist | PRED: Little finger flexion
[466.97s - 467.21s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[467.40s - 468.99s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[469.08s - 469.37s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb abduction
[469.37s - 469.81s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[470.22s - 473.98s] ✅ TRUE: Rest                         | PRED: Rest
[474.40s - 477.63s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[477.93s - 478.43s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb abduction
[478.43s - 478.69s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[478.69s - 482.37s] ✅ TRUE: Rest                         | PRED: Rest
[482.44s - 482.74s] ❌ TRUE: Fingers flexed together in fist | PRED: Pointing index
[482.74s - 485.58s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[485.58s - 485.95s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[486.14s - 490.20s] ✅ TRUE: Rest                         | PRED: Rest
[490.20s - 490.56s] ❌ TRUE: Fingers flexed together in fist | PRED: Rest
[490.68s - 493.19s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[493.19s - 493.49s] ❌ TRUE: Fingers flexed together in fist | PRED: Pointing index
[493.81s - 494.14s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb abduction
[494.14s - 494.71s] ❌ TRUE: Fingers flexed together in fist | PRED: Rest
[494.71s - 495.28s] ❌ TRUE: Fingers flexed together in fist | PRED: Thumb abduction
[495.61s - 499.09s] ✅ TRUE: Rest                         | PRED: Rest
[499.17s - 499.73s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[499.80s - 501.95s] ✅ TRUE: Fingers flexed together in fist | PRED: Fingers flexed together in fist
[501.95s - 502.28s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[502.28s - 503.32s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[503.32s - 507.74s] ✅ TRUE: Rest                         | PRED: Rest
[507.89s - 510.66s] ✅ TRUE: Pointing index               | PRED: Pointing index
[510.66s - 511.18s] ❌ TRUE: Pointing index               | PRED: Rest
[511.18s - 511.40s] ❌ TRUE: Pointing index               | PRED: Thumb abduction
[511.40s - 511.79s] ❌ TRUE: Pointing index               | PRED: Ring flexion
[511.99s - 516.17s] ✅ TRUE: Rest                         | PRED: Rest
[516.31s - 517.08s] ✅ TRUE: Pointing index               | PRED: Pointing index
[517.08s - 517.39s] ❌ TRUE: Pointing index               | PRED: Flexion of ring and little finger, extension of others
[517.42s - 517.63s] ❌ TRUE: Pointing index               | PRED: Flexion of ring and little finger, extension of others
[517.63s - 519.03s] ✅ TRUE: Pointing index               | PRED: Pointing index
[519.03s - 519.38s] ❌ TRUE: Pointing index               | PRED: Thumb abduction
[519.53s - 519.77s] ❌ TRUE: Rest                         | PRED: Ring flexion
[519.77s - 524.64s] ✅ TRUE: Rest                         | PRED: Rest
[524.73s - 527.07s] ✅ TRUE: Pointing index               | PRED: Pointing index
[527.20s - 527.71s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[527.71s - 532.51s] ✅ TRUE: Rest                         | PRED: Rest
[532.51s - 533.05s] ❌ TRUE: Rest                         | PRED: Pointing index
[533.05s - 535.19s] ✅ TRUE: Pointing index               | PRED: Pointing index
[535.19s - 535.73s] ❌ TRUE: Pointing index               | PRED: Fingers flexed together in fist
[535.82s - 536.12s] ✅ TRUE: Pointing index               | PRED: Pointing index
[536.14s - 536.47s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[536.47s - 541.36s] ✅ TRUE: Rest                         | PRED: Rest
[541.40s - 544.11s] ✅ TRUE: Pointing index               | PRED: Pointing index
[544.11s - 544.51s] ❌ TRUE: Rest                         | PRED: Pointing index
[544.63s - 549.91s] ✅ TRUE: Rest                         | PRED: Rest
[550.05s - 553.16s] ✅ TRUE: Pointing index               | PRED: Pointing index
[553.25s - 553.66s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[553.66s - 558.45s] ✅ TRUE: Rest                         | PRED: Rest
[558.60s - 561.16s] ✅ TRUE: Pointing index               | PRED: Pointing index
[561.16s - 561.61s] ❌ TRUE: Rest                         | PRED: Pointing index
[561.61s - 561.81s] ✅ TRUE: Rest                         | PRED: Rest
[561.92s - 566.83s] ✅ TRUE: Rest                         | PRED: Rest
[566.96s - 567.30s] ✅ TRUE: Pointing index               | PRED: Pointing index
[567.30s - 567.92s] ❌ TRUE: Pointing index               | PRED: Extension of index and middle, flexion of others
[567.92s - 569.04s] ✅ TRUE: Pointing index               | PRED: Pointing index
[569.04s - 569.41s] ❌ TRUE: Pointing index               | PRED: Rest
[569.47s - 570.01s] ❌ TRUE: Pointing index               | PRED: Rest
[570.08s - 570.36s] ❌ TRUE: Rest                         | PRED: Pointing index
[570.52s - 575.12s] ✅ TRUE: Rest                         | PRED: Rest
[575.28s - 578.35s] ✅ TRUE: Pointing index               | PRED: Pointing index
[578.35s - 578.77s] ❌ TRUE: Pointing index               | PRED: Rest
[578.77s - 579.15s] ❌ TRUE: Pointing index               | PRED: Ring flexion
[579.15s - 583.57s] ✅ TRUE: Rest                         | PRED: Rest
[583.59s - 586.48s] ✅ TRUE: Pointing index               | PRED: Pointing index
[586.52s - 592.47s] ✅ TRUE: Rest                         | PRED: Rest
[592.69s - 593.03s] ❌ TRUE: Adduction of extended fingers | PRED: Wrist flexion
[593.03s - 593.53s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[593.69s - 593.95s] ❌ TRUE: Adduction of extended fingers | PRED: Thumb opposing base of little finger
[593.95s - 594.34s] ❌ TRUE: Adduction of extended fingers | PRED: Turn a screw
[594.34s - 594.98s] ❌ TRUE: Adduction of extended fingers | PRED: Ring flexion
[595.01s - 595.22s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[595.45s - 595.86s] ❌ TRUE: Adduction of extended fingers | PRED: Fingers flexed together in fist
[596.11s - 599.97s] ✅ TRUE: Rest                         | PRED: Rest
[599.97s - 600.20s] ❌ TRUE: Adduction of extended fingers | PRED: Thumb abduction
[600.50s - 600.99s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[600.99s - 601.34s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[601.34s - 601.76s] ❌ TRUE: Adduction of extended fingers | PRED: Index flexion
[601.81s - 602.73s] ❌ TRUE: Adduction of extended fingers | PRED: Index flexion
[602.89s - 608.21s] ✅ TRUE: Rest                         | PRED: Rest
[608.21s - 608.45s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[608.69s - 609.27s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[609.62s - 610.50s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[611.05s - 617.10s] ✅ TRUE: Rest                         | PRED: Rest
[617.25s - 617.59s] ❌ TRUE: Adduction of extended fingers | PRED: Wrist pronation (axis: little finger)
[617.59s - 618.37s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[618.37s - 618.80s] ❌ TRUE: Adduction of extended fingers | PRED: Flexion of ring and little finger, extension of others
[618.80s - 619.36s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[619.36s - 619.65s] ❌ TRUE: Rest                         | PRED: Adduction of extended fingers
[619.65s - 625.15s] ✅ TRUE: Rest                         | PRED: Rest
[625.32s - 625.62s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[625.62s - 626.68s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[626.68s - 626.99s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[627.09s - 627.42s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[627.42s - 627.91s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[628.08s - 628.73s] ❌ TRUE: Adduction of extended fingers | PRED: Rest
[628.73s - 633.29s] ✅ TRUE: Rest                         | PRED: Rest
[633.65s - 634.11s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[634.19s - 634.50s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[634.50s - 634.90s] ❌ TRUE: Adduction of extended fingers | PRED: Abduction of all fingers
[635.03s - 635.50s] ❌ TRUE: Adduction of extended fingers | PRED: Ring flexion
[635.50s - 635.89s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[635.89s - 636.16s] ❌ TRUE: Adduction of extended fingers | PRED: Index flexion
[636.61s - 641.59s] ✅ TRUE: Rest                         | PRED: Rest
[641.71s - 642.03s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[642.08s - 644.47s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[644.66s - 645.08s] ❌ TRUE: Adduction of extended fingers | PRED: Rest
[645.08s - 650.08s] ✅ TRUE: Rest                         | PRED: Rest
[650.08s - 650.35s] ❌ TRUE: Rest                         | PRED: Middle extension
[650.44s - 650.93s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[651.03s - 651.42s] ❌ TRUE: Adduction of extended fingers | PRED: Abduction of all fingers
[651.42s - 651.91s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[651.91s - 652.12s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[652.49s - 652.76s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[652.83s - 658.29s] ✅ TRUE: Rest                         | PRED: Rest
[658.41s - 658.69s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[658.69s - 659.19s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[659.19s - 659.61s] ❌ TRUE: Adduction of extended fingers | PRED: Flexion of ring and little finger, extension of others
[659.61s - 660.02s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[660.11s - 660.34s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[660.34s - 661.18s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[661.18s - 661.39s] ❌ TRUE: Rest                         | PRED: Adduction of extended fingers
[661.47s - 666.91s] ✅ TRUE: Rest                         | PRED: Rest
[666.99s - 667.44s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[667.44s - 667.72s] ❌ TRUE: Adduction of extended fingers | PRED: Middle extension
[667.73s - 668.07s] ❌ TRUE: Adduction of extended fingers | PRED: Abduction of all fingers
[668.07s - 669.79s] ✅ TRUE: Adduction of extended fingers | PRED: Adduction of extended fingers
[669.90s - 675.84s] ✅ TRUE: Rest                         | PRED: Rest
[676.03s - 676.37s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Prismatic pinch grasp
[676.37s - 676.77s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Cut something
[676.77s - 677.29s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[677.29s - 677.54s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Cut something
[677.54s - 678.74s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[678.74s - 679.12s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[679.22s - 680.15s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[680.15s - 683.92s] ✅ TRUE: Rest                         | PRED: Rest
[684.16s - 684.36s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[684.36s - 684.62s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Large diameter grasp
[684.62s - 685.16s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[685.35s - 686.27s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[686.57s - 687.40s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[687.58s - 692.05s] ✅ TRUE: Rest                         | PRED: Rest
[692.13s - 692.65s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Prismatic pinch grasp
[692.67s - 693.28s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[693.33s - 694.83s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[694.83s - 695.35s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[695.35s - 696.06s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[696.06s - 696.37s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Thumb abduction
[696.39s - 700.58s] ✅ TRUE: Rest                         | PRED: Rest
[700.64s - 701.16s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Prismatic pinch grasp
[701.43s - 701.70s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[702.32s - 703.10s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[703.27s - 703.84s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[703.84s - 704.10s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Quadpod grasp
[704.10s - 704.59s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Thumb abduction
[704.60s - 705.40s] ✅ TRUE: Rest                         | PRED: Rest
[705.60s - 709.51s] ✅ TRUE: Rest                         | PRED: Rest
[709.67s - 710.25s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[710.29s - 710.59s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[710.59s - 711.43s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[711.65s - 712.32s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[712.35s - 712.72s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Little finger flexion
[712.73s - 713.11s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Thumb up
[713.21s - 713.63s] ❌ TRUE: Rest                         | PRED: Pointing index
[713.63s - 717.17s] ✅ TRUE: Rest                         | PRED: Rest
[717.44s - 717.72s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Index flexion
[717.72s - 717.98s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[717.98s - 718.39s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[718.39s - 718.97s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[719.01s - 719.43s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[719.43s - 719.98s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[719.98s - 720.49s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[720.66s - 721.91s] ❌ TRUE: Rest                         | PRED: Pointing index
[721.91s - 722.35s] ✅ TRUE: Rest                         | PRED: Rest
[722.35s - 722.73s] ❌ TRUE: Rest                         | PRED: Pointing index
[722.73s - 725.81s] ✅ TRUE: Rest                         | PRED: Rest
[725.86s - 726.18s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[726.18s - 726.53s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Index flexion
[726.53s - 726.95s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Large diameter grasp
[726.95s - 727.23s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[727.31s - 727.54s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[727.57s - 728.72s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[728.85s - 729.28s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[729.28s - 729.50s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Thumb up
[729.82s - 734.27s] ✅ TRUE: Rest                         | PRED: Rest
[734.27s - 734.48s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Rest
[734.76s - 735.53s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[736.24s - 736.93s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[737.23s - 737.55s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[737.74s - 738.15s] ❌ TRUE: Rest                         | PRED: Pointing index
[738.15s - 742.74s] ✅ TRUE: Rest                         | PRED: Rest
[742.95s - 743.55s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[743.55s - 744.01s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[744.01s - 744.24s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[744.28s - 744.64s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: little finger)
[744.64s - 745.18s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[745.29s - 745.73s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Prismatic four fingers grasp
[746.00s - 746.42s] ❌ TRUE: Rest                         | PRED: Pointing index
[746.42s - 750.91s] ✅ TRUE: Rest                         | PRED: Rest
[751.20s - 751.48s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Extension type grasp
[751.66s - 752.02s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[752.05s - 752.82s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[752.84s - 753.28s] ✅ TRUE: Wrist supination (axis: middle finger) | PRED: Wrist supination (axis: middle finger)
[753.38s - 753.79s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Middle flexion
[753.79s - 754.04s] ❌ TRUE: Wrist supination (axis: middle finger) | PRED: Thumb abduction
[754.04s - 754.27s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[754.27s - 759.82s] ✅ TRUE: Rest                         | PRED: Rest
[759.96s - 760.74s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[760.74s - 761.17s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Open a bottle with a tripod grasp
[761.17s - 762.02s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[762.02s - 762.49s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[762.49s - 762.93s] ❌ TRUE: Rest                         | PRED: Pointing index
[762.93s - 767.39s] ✅ TRUE: Rest                         | PRED: Rest
[767.39s - 768.05s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Rest
[768.05s - 770.55s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[770.55s - 770.75s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[770.75s - 772.61s] ✅ TRUE: Rest                         | PRED: Rest
[772.61s - 772.98s] ❌ TRUE: Rest                         | PRED: Pointing index
[772.98s - 776.19s] ✅ TRUE: Rest                         | PRED: Rest
[776.41s - 778.66s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[778.66s - 779.06s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[779.06s - 779.60s] ❌ TRUE: Rest                         | PRED: Pointing index
[779.60s - 784.19s] ✅ TRUE: Rest                         | PRED: Rest
[784.61s - 787.40s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[787.56s - 792.57s] ✅ TRUE: Rest                         | PRED: Rest
[792.61s - 793.34s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Prismatic pinch grasp
[793.34s - 795.73s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[795.73s - 795.98s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[795.98s - 800.76s] ✅ TRUE: Rest                         | PRED: Rest
[800.90s - 803.94s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[804.13s - 804.37s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[804.37s - 808.78s] ✅ TRUE: Rest                         | PRED: Rest
[808.78s - 809.50s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[809.50s - 810.00s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[810.00s - 812.23s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[812.23s - 812.60s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[812.65s - 812.95s] ❌ TRUE: Rest                         | PRED: Middle flexion
[813.22s - 817.70s] ✅ TRUE: Rest                         | PRED: Rest
[817.79s - 818.22s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Prismatic pinch grasp
[818.22s - 820.99s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[820.99s - 821.25s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Tip pinch grasp
[821.53s - 826.02s] ✅ TRUE: Rest                         | PRED: Rest
[826.04s - 826.39s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[826.39s - 826.79s] ❌ TRUE: Wrist pronation (axis: middle finger) | PRED: Prismatic pinch grasp
[826.79s - 829.15s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[829.15s - 829.42s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[829.44s - 834.07s] ✅ TRUE: Rest                         | PRED: Rest
[834.39s - 837.56s] ✅ TRUE: Wrist pronation (axis: middle finger) | PRED: Wrist pronation (axis: middle finger)
[837.76s - 842.55s] ✅ TRUE: Rest                         | PRED: Rest
[842.55s - 844.24s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[844.38s - 846.07s] ✅ TRUE: Wrist supination (axis: little finger) | PRED: Wrist supination (axis: little finger)
[846.07s - 846.28s] ❌ TRUE: Wrist supination (axis: little finger) | PRED: Wrist pronation (axis: middle finger)
[846.28s - 846.68s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
